id,callsign,tgid
284016,South East Bulgaria,284016
724,Brasil National,724
7241,Norte,7241
7242,Nordeste,7242
7243,Centro-Oeste,7243
7244,Sudeste,7244
7245,Sul,7245
72411,São Paulo,72411
72416,YSF-NET,72416
72421,Rio de Janeiro,72421
72427,Espírito Santo,72427
72431,Minas Gerais,72431
72441,Paraná,72441
72448,Santa Catarina,72448
72451,Rio Grande do Sul,72451
72461,Brasília,72461
72462,Goiás,72462
72463,Tocantins,72463
72465,Mato Grosso,72465
72467,Mato Grosso do Sul,72467
72468,Acre,72468
72469,Rondônia,72469
72471,Bahia,72471
72479,Sergipe,72479
72481,Pernambuco,72481
72482,Alagoas,72482
72483,Paraíba,72483
72484,Rio Grande do Norte,72484
72485,Ceará,72485
72486,Piauí,72486
72490,Desbravadores,72490
72491,Pará,72491
72492,Amazonas,72492
72495,Roraima,72495
72496,Amapá,72496
72498,Maranhão,72498
206,Belgium-National,206
2061,Belgium-North,2061
2062,Belgium-South,2062
2063,Belgium-East,2063
2064,Belgium-On Demand,2064
2065,Belgium-On Demand,2065
2066,Belgium-On Demand,2066
2067,Belgium-On Demand,2067
2068,Belgium-On Demand,2068
2069,Belgium-On Demand,2069
20600,Belgium-Liege,20600
20601,Belgium-Namur,20601
20602,Belgium-Luxembourg,20602
20603,Belgium-Hainaut,20603
20604,Belgium-Brussels,20604
20605,Belgium-Brabant Wallon,20605
20606,Belgium-Vlaams Brabant,20606
20607,Belgium-Limburg,20607
20608,Belgium-Antwerpen,20608
20609,Belgium-O.Vlanderen,20609
20610,Belgium-W.Vlanderen,20610
206112,Belgium-Emergency,206112
505,Australia,505
5051,ACT (Australian Capital Territory),5051
5052,NSW (New South Wales),5052
5053,VIC (Victoria),5053
5054,QLD (Queensland),5054
5055,SA (South Australia),5055
5056,WA (Western Australia),5056
5057,TAS (Tasmania),5057
5058, NT (Northern Territory),5058
722,ARG 722 ,722
7221,ARG 7221,7221
7222,ARG 7222,7222
7223,ARG 7223,7223
7224,ARG 7224,7224
7225,ARGENTINA DIGITAL,7225
7226,ARG 7226,7226
7227,ARG 7227,7227
7228,ARG 7228,7228
7229,ARG 7229,7229
