MCC,Country,Flag
633,Seychelles ,<img src='http://freedmr.cymru/talkgroups/flags/633.png' />
634,Sudan ,<img src='http://freedmr.cymru/talkgroups/flags/634.png' />
635,Rwanda ,<img src='http://freedmr.cymru/talkgroups/flags/635.png' />
636,Ethiopia ,<img src='http://freedmr.cymru/talkgroups/flags/636.png' />
637,Somalia ,<img src='http://freedmr.cymru/talkgroups/flags/637.png' />
638,Djibouti ,<img src='http://freedmr.cymru/talkgroups/flags/638.png' />
639,Kenya ,<img src='http://freedmr.cymru/talkgroups/flags/639.png' />
640,Tanzania ,<img src='http://freedmr.cymru/talkgroups/flags/640.png' />
641,Uganda ,<img src='http://freedmr.cymru/talkgroups/flags/641.png' />
642,Burundi ,<img src='http://freedmr.cymru/talkgroups/flags/642.png' />
643,Mozambique ,<img src='http://freedmr.cymru/talkgroups/flags/643.png' />
645,Zambia ,<img src='http://freedmr.cymru/talkgroups/flags/645.png' />
646,Madagascar ,<img src='http://freedmr.cymru/talkgroups/flags/646.png' />
648,Zimbabwe ,<img src='http://freedmr.cymru/talkgroups/flags/648.png' />
649,Namibia ,<img src='http://freedmr.cymru/talkgroups/flags/649.png' />
650,Malawi ,<img src='http://freedmr.cymru/talkgroups/flags/650.png' />
651,Lesotho ,<img src='http://freedmr.cymru/talkgroups/flags/651.png' />
652,Botswana ,<img src='http://freedmr.cymru/talkgroups/flags/652.png' />
653,Swaziland ,<img src='http://freedmr.cymru/talkgroups/flags/653.png' />
654,Comoros ,<img src='http://freedmr.cymru/talkgroups/flags/654.png' />
655,South Africa ,<img src='http://freedmr.cymru/talkgroups/flags/655.png' />
657,Eritrea ,<img src='http://freedmr.cymru/talkgroups/flags/657.png' />
702,Belize ,<img src='http://freedmr.cymru/talkgroups/flags/702.png' />
704,Guatemala ,<img src='http://freedmr.cymru/talkgroups/flags/704.png' />
706,El Salvador ,<img src='http://freedmr.cymru/talkgroups/flags/706.png' />
708,Honduras ,<img src='http://freedmr.cymru/talkgroups/flags/708.png' />
710,Nicaragua ,<img src='http://freedmr.cymru/talkgroups/flags/710.png' />
712,Costa Rica ,<img src='http://freedmr.cymru/talkgroups/flags/712.png' />
714,Panama ,<img src='http://freedmr.cymru/talkgroups/flags/714.png' />
716,Peru ,<img src='http://freedmr.cymru/talkgroups/flags/716.png' />
722,Argentina ,<img src='http://freedmr.cymru/talkgroups/flags/722.png' />
724,Brazil ,<img src='http://freedmr.cymru/talkgroups/flags/724.png' />
730,Chile ,<img src='http://freedmr.cymru/talkgroups/flags/730.png' />
732,Colombia ,<img src='http://freedmr.cymru/talkgroups/flags/732.png' />
734,Venezuela ,<img src='http://freedmr.cymru/talkgroups/flags/734.png' />
736,Bolivia ,<img src='http://freedmr.cymru/talkgroups/flags/736.png' />
738,Guyana ,<img src='http://freedmr.cymru/talkgroups/flags/738.png' />
740,Ecuador ,<img src='http://freedmr.cymru/talkgroups/flags/740.png' />
744,Paraguay ,<img src='http://freedmr.cymru/talkgroups/flags/744.png' />
746,Suriname ,<img src='http://freedmr.cymru/talkgroups/flags/746.png' />
748,Uruguay ,<img src='http://freedmr.cymru/talkgroups/flags/748.png' />
